code,term,term_clean,semantic_tag
3895009,Application of dressing (procedure),Application of dressing,procedure
3898006,"Neoplasm, benign (morphologic abnormality)","Neoplasm, benign",morphologic abnormality
3900008,Mixed sensory-motor polyneuropathy (disorder),Mixed sensory-motor polyneuropathy,disorder
3916005,Structure of occipital lymph node (body structure),Structure of occipital lymph node,body structure
3924000,Structure of pericardiacophrenic artery (body structure),Structure of pericardiacophrenic artery,body structure
3932008,Copper-64 (substance),Copper-64,substance
3937002,Structure of entorhinal cortex (body structure),Structure of entorhinal cortex,body structure
3951002,Proctitis (disorder),Proctitis,disorder
3954005,Lacrimal sac structure (body structure),Lacrimal sac structure,body structure
3960005,Olfactory tract structure (body structure),Olfactory tract structure,body structure
3972004,Primary insomnia (disorder),Primary insomnia,disorder
3974003,Contact with sharp leaves (event),Contact with sharp leaves,event
4009004,Lower urinary tract infectious disease (disorder),Lower urinary tract infectious disease,disorder
4019005,Structure of posterior commissure of labia majora (body structure),Structure of posterior commissure of labia majora,body structure
4046000,Degenerative spondylolisthesis (disorder),Degenerative spondylolisthesis,disorder
4064007,Specimen aliquoting (procedure),Specimen aliquoting,procedure
4073004,Palauans (ethnic group),Palauans,ethnic group
4082005,Myocarditis caused by Treponema pallidum (disorder),Myocarditis caused by Treponema pallidum,disorder
4120002,Bronchiolitis (disorder),Bronchiolitis,disorder
4127004,Prostatic obstruction (disorder),Prostatic obstruction,disorder
4147007,Mass (morphologic abnormality),Mass,morphologic abnormality
4199009,18p partial trisomy syndrome (disorder),18p partial trisomy syndrome,disorder
4210003,Ocular hypertension (disorder),Ocular hypertension,disorder
4223005,Parkinsonism caused by drug (disorder),Parkinsonism caused by drug,disorder
4241002,Listeriosis (disorder),Listeriosis,disorder
4258007,Structure of posterior tibial vein (body structure),Structure of posterior tibial vein,body structure
4264000,Chronic pericoronitis (disorder),Chronic pericoronitis,disorder
4273008,Closed posterior dislocation of elbow (disorder),Closed posterior dislocation of elbow,disorder
4298009,Shigella sonnei (organism),Shigella sonnei,organism
4299001,Marathas (ethnic group),Marathas,ethnic group
4307007,"Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class F (disorder)","Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class F",disorder
4317002,Structure of spinalis muscle (body structure),Structure of spinalis muscle,body structure
4322002,Military field hospital (environment),Military field hospital,environment
4335006,Upper jaw region structure (body structure),Upper jaw region structure,body structure
4356008,Gingival recession (disorder),Gingival recession,disorder
4373005,Clubbing of nail (disorder),Clubbing of nail,disorder
4382004,Centrally acting hypotensive agent (product),Centrally acting hypotensive agent,product
4386001,Bronchospasm (finding),Bronchospasm,finding
4406004,Congenital anomaly of male genital system (disorder),Congenital anomaly of male genital system,disorder
4412009,Injury of digital nerve (disorder),Injury of digital nerve,disorder
4421005,Cell structure (cell structure),Cell structure,cell structure
4432005,Structure of ductus arteriosus (body structure),Structure of ductus arteriosus,body structure
4447001,"Autopsy, gross and microscopic examination, stillborn or newborn without central nervous system (procedure)","Autopsy, gross and microscopic examination, stillborn or newborn without central nervous system",procedure
4473006,Migraine with aura (disorder),Migraine with aura,disorder
4483005,Syphilitic punched out ulcer (disorder),Syphilitic punched out ulcer,disorder
4506002,Educational problem (finding),Educational problem,finding
4512007,Group sex play (finding),Group sex play,finding
4521008,Fall from cliff (event),Fall from cliff,event
4525004,Emergency department patient visit (procedure),Emergency department patient visit,procedure
4550001,Special infant formula (finding),Special infant formula,finding
4554005,Intraventricular conduction defect (disorder),Intraventricular conduction defect,disorder
4556007,Gastritis (disorder),Gastritis,disorder
4557003,Preinfarction syndrome (disorder),Preinfarction syndrome,disorder
4563007,"Hospital admission, transfer from other hospital or health care facility (procedure)","Hospital admission, transfer from other hospital or health care facility",procedure
4568003,Retrosternal pain (finding),Retrosternal pain,finding
4578000,Skin structure of posterior surface of thigh (body structure),Skin structure of posterior surface of thigh,body structure
4596009,Laryngeal structure (body structure),Laryngeal structure,body structure
4598005,Osteomalacia (disorder),Osteomalacia,disorder
4625008,Apical pulse taking (procedure),Apical pulse taking,procedure
4631006,Tubular adenocarcinoma (morphologic abnormality),Tubular adenocarcinoma,morphologic abnormality
4649006,Toxoplasma gondii (organism),Toxoplasma gondii,organism
4656000,Alcian blue 8GX stain (substance),Alcian blue 8GX stain,substance
4658004,Skin structure of nuchal region (body structure),Skin structure of nuchal region,body structure
4661003,Calculus of bile duct with obstruction (disorder),Calculus of bile duct with obstruction,disorder
4668009,Genus Yersinia (organism),Genus Yersinia,organism
4683004,Living condition (observable entity),Living condition,observable entity
4693006,Chromium (51-Cr) albumin (substance),Chromium (51-Cr) albumin,substance
4711003,Congenital anomaly of bile ducts (disorder),Congenital anomaly of bile ducts,disorder
4716008,Entamoeba histolytica (organism),Entamoeba histolytica,organism
4740000,Herpes zoster (disorder),Herpes zoster,disorder
4751000,Leisure physical activity (observable entity),Leisure physical activity,observable entity
4754008,Gynecomastia (disorder),Gynecomastia,disorder
4770005,Colporrhaphy for repair of urethrocele (procedure),Colporrhaphy for repair of urethrocele,procedure
4776004,Lichen planus (disorder),Lichen planus,disorder
4779006,Cryptosporidium muris (organism),Cryptosporidium muris,organism
4788002,Closed fracture of zygoma (disorder),Closed fracture of zygoma,disorder
4800001,Pyuria (finding),Pyuria,finding
4821001,Contusion of cheek (disorder),Contusion of cheek,disorder
4832001,Technetium (99m-Tc) mebrofenin (substance),Technetium (99m-Tc) mebrofenin,substance
4834000,Typhoid fever (disorder),Typhoid fever,disorder
4851007,Chronic endocarditis (disorder),Chronic endocarditis,disorder
4853005,Dry coitus (finding),Dry coitus,finding
4854004,Acquired hemolytic anemia (disorder),Acquired hemolytic anemia,disorder
4855003,Retinopathy due to diabetes mellitus (disorder),Retinopathy due to diabetes mellitus,disorder
4866005,Constrictor muscle of pharynx structure (body structure),Constrictor muscle of pharynx structure,body structure
4886009,Premature birth of newborn male (finding),Premature birth of newborn male,finding
4927003,Acute anterior uveitis (disorder),Acute anterior uveitis,disorder
4932002,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks (disorder)","Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",disorder
4942000,Lower limb lymph node structure (body structure),Lower limb lymph node structure,body structure
4958002,Amygdaloid structure (body structure),Amygdaloid structure,body structure
4969004,Sinus headache (finding),Sinus headache,finding
4970003,Venography (procedure),Venography,procedure
4996001,Hypophosphatemia (disorder),Hypophosphatemia,disorder
4997005,Thyrotoxicosis factitia (disorder),Thyrotoxicosis factitia,disorder
5007006,Papain (substance),Papain,substance
5043000,Erythrosin Y stain (substance),Erythrosin Y stain,substance
5048009,External cephalic version with tocolysis (procedure),External cephalic version with tocolysis,procedure
5049001,Abnormal angle of erection (finding),Abnormal angle of erection,finding
5050001,Senile angioma (disorder),Senile angioma,disorder
5056007,Mycoplasma genitalium (organism),Mycoplasma genitalium,organism
5076001,Structure of infrasternal angle (body structure),Structure of infrasternal angle,body structure
5084002,Primary female infertility (disorder),Primary female infertility,disorder
5085001,Gonococcemia (finding),Gonococcemia,finding
5132005,Keratosis pilaris (disorder),Keratosis pilaris,disorder
5148006,Hypertensive heart disease with congestive heart failure (disorder),Hypertensive heart disease with congestive heart failure,disorder
5149003,Abnormal hair texture (finding),Abnormal hair texture,finding
5154007,Speech therapy (regime/therapy),Speech therapy,regime/therapy
5158005,Gilles de la Tourette's syndrome (disorder),Gilles de la Tourette's syndrome,disorder
5187006,Prune belly syndrome (disorder),Prune belly syndrome,disorder
5210005,Rubella virus (organism),Rubella virus,organism
5217008,Stiff person spectrum disorder (disorder),Stiff person spectrum disorder,disorder
5244003,Intraductal papilloma (morphologic abnormality),Intraductal papilloma,morphologic abnormality
5247005,Bordetella pertussis (organism),Bordetella pertussis,organism
5272005,Skin structure of lateral portion of neck (body structure),Skin structure of lateral portion of neck,body structure
5291005,Hypocalcemia (disorder),Hypocalcemia,disorder
5294002,Developmental disorder (disorder),Developmental disorder,disorder
5296000,Structure of anterior mediastinal lymph node (body structure),Structure of anterior mediastinal lymph node,body structure
5313005,Derangement of posterior horn of medial meniscus (disorder),Derangement of posterior horn of medial meniscus,disorder
5318001,Posterior subcapsular polar senile cataract (disorder),Posterior subcapsular polar senile cataract,disorder
5332004,Oculogyric crisis (finding),Oculogyric crisis,finding
5366008,Hippocampal structure (body structure),Hippocampal structure,body structure
5368009,Drug-induced diabetes mellitus (disorder),Drug-induced diabetes mellitus,disorder
5370000,Atrial flutter (disorder),Atrial flutter,disorder
5394000,Structure of uterine paracervical lymph node (body structure),Structure of uterine paracervical lymph node,body structure
5405008,Cobalt-60 (substance),Cobalt-60,substance
5413009,Abnormal male sexual function (finding),Abnormal male sexual function,finding
5441008,Tinea capitis (disorder),Tinea capitis,disorder
5442001,Page blue 83 stain (substance),Page blue 83 stain,substance
5447007,Transfusion (procedure),Transfusion,procedure
5467003,Normal respiratory rhythm (finding),Normal respiratory rhythm,finding
5505005,Acute bronchiolitis (disorder),Acute bronchiolitis,disorder
